dev;username;sleepings;hibernations;deads
12417;joshaber;[13, 9, 10, 122, 286];[11, 519, 26];[]
751913;Ben3eeE;[88, 137, 73, 109, 68];[];[]
36779;BinaryMuse;[766, 113, 43, 41, 23, 23, 165];[192];[]
1235045;probablycorey-and-nathan;[];[84, 139, 55, 47, 17, 21, 10, 13, 12, 12];[1659]
4467956;kuychaco;[23, 41, 47, 29, 43, 27, 53, 60, 137];[14, 37, 30, 50, 67];[]
2782;hubot;[];[62, 62, 78];[]
948775;50Wliu;[101, 47, 23, 14, 22, 13, 17, 18, 21, 18, 20, 15, 19, 22, 70];[];[]
42654;matthewwithanm;[92, 55, 23, 23, 58, 37, 41, 22, 94, 151];[36, 69];[]
2546;thomasjo;[36, 20, 20, 104, 45, 35, 175, 47, 192, 209];[25, 26];[]
25976;bolinfest;[49, 94, 412, 207];[143, 257];[]
3919;simurai;[25, 33, 20, 23, 9, 11, 14, 54, 32, 21, 27, 89];[];[]
32275291;ungb;[93];[192];[]
144589;nathansobo;[34, 12, 8, 17, 4, 6, 7, 10, 5, 5, 10, 21, 13, 56, 20, 15, 13, 19, 20, 18, 14, 14, 13, 14, 27, 25, 63, 54];[10, 13, 26, 36, 35, 12, 13, 19, 9, 5, 10, 5, 7, 4, 5, 54, 75];[]
174689;thedaniel;[79, 84, 52, 47, 331];[];[632]
67207;smashwilson;[94, 342, 87, 98, 37, 81, 9, 12, 11, 27, 88];[436];[]
71911;leroix;[15, 25];[192, 156];[]
2008048;probablykevin;[];[];[2027]
2504968;paulcbetts;[517, 565];[];[]
1559;lee-dohm;[93, 80, 32, 18, 10, 22, 14, 40, 54];[];[]
14765;zcbenz;[36, 24, 18, 22, 16, 19, 24, 28, 38, 57, 253, 485];[15, 13, 15, 20, 40, 192, 187];[]
778253;damieng;[20, 12, 14, 22, 18, 18, 20, 26, 122, 78, 47];[];[]
1392572;iolsen;[149, 72, 72, 207];[94];[]
16432;mnquintana;[20, 34, 26, 85, 57, 68, 170, 277, 130];[190];[]
3741;kevinsawicki;[4, 10, 12, 4, 4, 5, 12, 7, 21, 11, 20, 41, 261, 98, 207, 183];[5, 4, 4, 4, 6, 4, 5, 4, 7, 14, 20, 19, 47, 268];[]
930921;as-cii;[12, 16, 12, 15, 8, 10, 11, 11, 13, 10, 7, 9, 5, 7, 28, 25, 24, 258];[5, 6, 8, 14, 7];[]
14613;probablycorey;[11, 573, 145, 11, 30, 33];[11, 13, 12, 27, 11, 15, 9, 12, 15, 13, 41, 28, 156];[606]
49546;izuzak;[31, 148, 14, 13, 13, 22, 385, 105, 185, 145];[91, 126, 50, 55];[]
225756;benogle;[31, 53, 4, 5, 5, 16, 4, 4, 6, 5, 13, 34, 27, 54, 90, 229, 132];[15, 13, 17, 20, 117, 366, 101];[]
180703;mcolyer;[1680, 18];[13, 13, 71, 52];[]
61560;jasonrudolph;[522, 362, 35, 55, 21, 20];[118, 165, 145, 36];[]
309982;daviwil;[20, 15];[35];[]
2488625;kevinnathan;[127];[166, 71, 152, 155];[1404]
144590;maxbrunsfeld;[7, 11, 14, 17, 12, 18, 12, 83, 10, 10, 13, 25, 14, 14, 14, 9, 15];[12, 10, 43];[]
